Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
Mintivo Ltd,"We are Mintivo – a true IT service management company delivering IT solutions throughout the UK. We inspire businesses through technology.

We tailor modern technology solutions to suit your business and help your company achieve it’s goals. Skilled at the highest level, Mintivo can make technology work for your business",mark.adams@mintivo.co.uk,03300883310,Mark Adams
MIRACL Technologies Limited,"MIRACL Trust replaces passwords with user friendly, multi-factor authentication on any platform. No hardware requirements and no second steps such as SMS texts or authenticator apps are required.

SIMPLE: One step, 100% software, operates natively in any browser or mobile app. 
SECURE: True Multi-Factor Authentication, blocks 98% of all attacks",michael.tanaka@miracl.com,+44 (0) 20 8191 9264,Michael Tanaka
MIS Active Management Systems Limited,"MIS-Active Management Systems Ltd are a leading provider of housing management solutions. Our SQL-server based ActiveH product is a comprehensive, fully integrated solution offering feature-rich functionality across all areas of housing and asset management operations. Part of the MIS Group of companies, MIS-Emergency Systems Ltd are a Cloud Solutions Provider.",tenders@mis-ams.com,08453302325,Christopher McLaughlin
MIS EMERGENCY SYSTEMS LIMITED,"MIS Emergency Systems are the leading supplier of Ambulance Command and Control Systems in the UK and Ireland, we are proud to work with many of the worlds largest, best performing and innovative Ambulance Services.",info@mis-es.com,0845 330 4425,Sales
miso,"The way you work is evolving constantly, so your data solutions should too. We are all about finding flexible, innovative ways to make working with your complex data easier. Combining partner software with in-house analytic and development capabilities, we work alongside you to deliver solutions that streamline your data processes.",info@misoportal.com,01212328000,miso sales
MissingX UK Ltd,,uksales@missingx.com,0047 97 07 49 07,Sales
Mission Labs Limited,"Our mission is to re-think the way in which communications are built, delivered and used. We believe the future of the telecoms industry is one which is not constrained by legacy infrastructure and hardware, but instead, is delivered using modern web technologies to create powerful and beautifully executed software products",info@missionlabs.co.uk,03330505050,Commercial Team
Mitamirri Limited,"MigrationStudio enables organisations to accelerate their IT migration projects by aggregating data from multiple sources and providing a ""single pane of glass"" view of the estate. 

This unique approach to migration management significantly reduces the costs and time taken to deliver migration projects.",justin.pickup@MigrationStudio.com,07939055033,Justin Pickup
MiTEQ LIMITED,"MiTEQ supports investment in effective mobile technology solutions, businesses can realise their goals using a combination of software and hardware products and services, specialities include Mobile Computing, RFID Technology, RTLS Solutions, Track and Trace, Enterprise Mobility, M2M Connectivity, Mobile Device Support, Zebra Solutions, Industrial Print, Healthcare Solutions and Rugged Mobile",alex.whiting@miteq.co.uk,07442124436,Alex Whiting
Mitie Security Limited,"Part of the Mitie group, Mitie Security is one of the largest security providers in the UK with 18,000 Security Officers, a large Mobile Response Fleet and a state of the art Surveillance Centre.",MTSM.Onlinetender@mitie.com,0845 600 4650,Jed Yaqub
Mitigate Cyber Limited,"Founded by a team of specialists in cyber security, consultancy and information security, we are a trusted cyber security company with a passion for quality service.

Mitigate your cyber security risk with a state-of-the-art hub which provides the products and services that are vital for an effective cyber-security strategy.",gcloud@mitigatecyber.com,0333 323 3981,Shane Jaffer
Miux Ltd,"Miux Ltd. provides Programme and Project Delivery Management. Our focus is Cloud-led Business Change initiatives, and we can provide the expertise for successful Delivery, Programme and Supplier Management. We work on national and local government initiatives as well as associated bodies, eg. Housing Associations.",hannes.pintaritsch@miux.com,07525342871,Hannes Pintaritsch
Mixd,"Mixd is a user experience digital agency specialising in information design for the NHS and other public sectors. Since 2004, we have designed and built websites, apps and user-friendly digital solutions for the NHS, Police, educational establishments and other public services.",info@mixd.co.uk,0113 360 8250,Phil Shackleton
MKA Solutions Ltd,,info@mkasolutionsltd.com,07821821949,Cloud Services
MKSK CONSULTING LTD,Oracle Fusion HCM Specialist Consulting Services,gcloud@mksk.co.uk,+44 7912113775,Mohammed Khan
MLC Partners,,pete@mlcpartners.co.uk,02033711853,Pete Marshall
MMCG Consultancy Services Ltd,"SDLC and AGILE IT Portfolio, Programme, Project Management. Risk and Requirements Management. Change Management, Operating Model and Business Process Development and Improvement. We deliver Quicker (time), Smarter (cost) and Better (quality) than our competitors; first-time, every-time. Experienced in hyper-scale cloud deployments and migration from legacy infrastructure to cloud-based architectures.",consulting@mmcgconsulting.co.uk,07866499959,Malcolm McGeoch
MMG Mobile Marketing Group,"SMS Messaging in over 200 Countries through API, UI, Email 2 SMS, MMG is one of the most secure SMS Providers holding UKAS ISO-27001, Cyber Essentials, Cyber Essentials Plus and Kitemark for Secure Digital Transactions accreditation. MMG is the leading provider to Local and Central Government.",sales@mmgrp.co.uk,02078732421,Jason Bromley
MMT Digital,"MMT Digital help clients build digital products that transform organisational performance and deliver exceptional user experiences. Part agency, part consultancy: we’re leaders in combining technology, experience design and agile product delivery.  We work with both public sector and commercial organisations to deliver award-winning programmes, products and solutions.",hello@mmtdigital.co.uk,0207 2425698,Nick Rudd
MnTech,"Galvia Digital is a Digital service company that design bespoke software for private and public sector.  Galvia Digital has been operating for 7 years and has served customers such as Intel, Bombardier, Ericsson and CME with innovative applications.",gcloud@galviadigital.com,07733010028,Martin Naughton
